College Rank,College Name
#1,['Massachusetts Institute of Technology']
#2,['Stanford University']
#3,['California Institute of Technology']
#4,['Carnegie Mellon University']
#5,['Princeton University']
#6,['Georgia Institute of Technology']
#7,['Harvard University']
#8,['Columbia University']
#9,['Duke University']
#10,['Yale University']
#11,['Rice University']
#12,['Brown University']
#13,['University of Michigan - Ann Arbor']
#14,['Harvey Mudd College']
#15,['Cornell University']
#16,['University of Pennsylvania']
#17,['Dartmouth College']
#18,['University of Southern California']
#19,['Johns Hopkins University']
#20,['University of Chicago']
#21,['University of California - Los Angeles']
#22,['Northwestern University']
#23,['Washington University in St. Louis']
#24,['Tufts University']
#25,['University of Virginia']
#26,['University of California - Berkeley']
#27,['Northeastern University']
#28,['Vanderbilt University']
#29,['University of Notre Dame']
#30,['University of North Carolina at Chapel Hill']
#31,['University of Texas - Austin']
#32,['Pomona College']
#33,['Wellesley College']
#34,['University of Wisconsin']
#35,['New York University']
#36,['Georgetown University']
#37,['Rensselaer Polytechnic Institute']
#38,['University of Maryland - College Park']
#39,['University of Illinois Urbana-Champaign']
#40,['Purdue University']
#41,['University of California - Irvine']
#42,['University of Washington']
#43,['University of Florida']
#44,['Williams College']
#45,['Boston College']
#46,['University of California - San Diego']
#47,['Virginia Tech']
#48,['United States Military Academy at West Point']
#49,['Swarthmore College']
#50,['Penn State']
#51,['Boston University']
#52,['Case Western Reserve University']
#53,['Lehigh University']
#54,['Carleton College']
#55,['DigiPen Institute of Technology']
#56,['Middlebury College']
#57,['Colorado School of Mines']
#58,['Haverford College']
#59,['Grinnell College']
#60,['North Carolina State University']
#61,['Stevens Institute of Technology']
#62,['Colgate University']
#63,['University of Rochester']
#64,['Claremont McKenna College']
#65,['University of Minnesota Twin Cities']
#66,['Worcester Polytechnic Institute']
#67,['Brigham Young University']
#68,['University of Georgia']
#69,['University of Massachusetts - Amherst']
#70,['William & Mary']
#71,['Texas A&M University']
#72,['Wake Forest University']
#73,['Rutgers University - New Brunswick']
#74,['Washington and Lee University']
#75,['University of Miami']
#76,['Rochester Institute of Technology']
#77,['Florida State University']
#78,['University of Pittsburgh']
#79,['Amherst College']
#80,['University of California - Davis']
#81,['University of Texas - Dallas']
#82,['University of Utah']
#83,['The University of Tulsa']
#84,['Vassar College']
#85,['United States Naval Academy']
#86,['Smith College']
#87,['California Polytechnic State University (Cal Poly) - San Luis Obispo']
#88,['Michigan Technological University']
#89,['George Washington University']
#90,['Rose-Hulman Institute of Technology']
#91,['Indiana University - Bloomington']
#92,['Bowdoin College']
#93,['University of Central Florida']
#94,"['University of Maryland, Baltimore County']"
#95,['Davidson College']
#96,['Oregon State University']
#97,['Barnard College']
#98,['University of Colorado Boulder']
#99,['Colby College']
#100,['Villanova University']
#101,['University of California - Santa Barbara']
#102,['Tulane University']
#103,['Southern Methodist University']
#104,['Arizona State University']
#105,['The Ohio State University']
#106,['Emory University']
#107,['United States Air Force Academy']
#108,['Michigan State University']
#109,['New Mexico Tech']
#110,"['Stony Brook University, SUNY']"
#111,['Clemson University']
#112,['The University of Alabama in Huntsville']
#113,['New Jersey Institute of Technology']
#114,['University of Illinois Chicago']
#115,['Brandeis University']
#116,['Trinity University']
#117,['Mount Holyoke College']
#118,['Drexel University']
#119,"['Binghamton University, SUNY']"
#120,['Missouri University of Science and Technology']
#121,['Iowa State University']
#122,['DePaul University']
#123,['Dakota State University']
#124,['Illinois Institute of Technology']
#125,['University of South Florida']
#126,"['University at Buffalo, SUNY']"
#127,['Macalester College']
#128,['Lafayette College']
#129,['Florida International University']
#130,['Bryn Mawr College']
#131,['University of Arizona']
#132,['Syracuse University']
#133,['University of Advancing Technology']
#134,['University of Richmond']
#135,['University of Iowa']
#136,['Auburn University']
#137,['University of California - Santa Cruz']
#138,['Texas Tech University']
#139,['University of North Carolina at Charlotte']
#140,['George Mason University']
#141,['Wesleyan University']
#142,['Florida Institute of Technology']
#143,['University of California - Riverside']
#144,['University of Kentucky']
#145,['University of Houston']
#146,['University of South Carolina']
#147,['Hamilton College']
#148,['University of Alabama - Birmingham']
#149,['Reed College']
#150,['University of Tennessee']
#151,['DePauw University']
#152,['Bucknell University']
#153,['University of Delaware']
#154,['University of Texas - Arlington']
#155,['James Madison University']
#156,['Occidental College']
#157,['Temple University']
#158,['University of Oklahoma']
#159,['University of the People']
#160,['Colorado College']
#161,['University of Nebraska at Omaha']
#162,['Taylor University']
#163,['Rhodes College']
#164,['University of Kansas']
#165,['University of Nebraska - Lincoln']
#166,['University of Washington - Bothell']
#167,['Kansas State University']
#168,['Colorado State University']
#169,['Utah State University']
#170,['San Diego State University']
#171,['Union College - New York']
#172,['Washington State University']
#173,['Berklee College of Music']
#174,['Virginia Commonwealth University']
#175,['Georgia State University']
#176,['University of Dayton']
#177,['University of Cincinnati']
#178,['Saint Louis University']
#179,['The University of Alabama']
#180,['University of Washington - Tacoma']
#181,['Oberlin College']
#182,['University of Massachusetts Lowell']
#183,['Miami University']
#184,['University of Oregon']
#185,['Luther College']
#186,['Louisiana Tech University']
#187,['Scripps College']
#188,['Trinity College - Connecticut']
#189,['Fordham University']
#190,['Pitzer College']
#191,['University of Colorado Denver']
#192,['Oklahoma State University']
#193,['Indiana University-Purdue University - Indianapolis (IUPUI)']
#194,['University of Missouri']
#195,['University of South Alabama']
#196,['University of San Diego']
#197,['Clark University']
#198,['Regis University']
#199,['University of Arkansas']
#200,['Lewis & Clark College']
#201,['Harding University']
#202,['University of Mississippi']
#203,['Clarkson University']
#204,['Cedarville University']
#205,['Brigham Young University - Idaho']
#206,['South Dakota School of Mines & Technology']
#207,['Mississippi State University']
#208,['University of Maryland - Global Campus']
#209,['Penn State York']
#210,['University of North Texas']
#211,['University of Louisville']
#212,['Connecticut College']
#213,['Full Sail University']
#214,['University of Connecticut']
#215,['Marist College']
#216,['Montana State University']
#217,['Tennessee Technological University']
#218,['University of Wyoming']
#219,['University of Louisiana at Lafayette']
#220,['CUNY Baruch College']
#221,['Chapman University']
#222,['Denison University']
#223,['College of Charleston']
#224,['Louisiana State University']
#225,['Howard University']